Worker ID,UPDATE-unique_structure_from_noise
A2JH4QBXGHJ47M,1
A2JI5RNPPXE8QE,1
A2JNSJVSHXEMDC,1
A2JPOXYZM5AJZZ,1
A2JS2KQ3OFHGGZ,1
A2JY56TZCEPK3J,1
A2JYT3A8Z3Q2M6,1
A2K0J5746V53H,1
A2K2S0P331IZHL,1
A2KJ983WWTEK4L,1
A2KLJKDG90K1PP,1
A2KNDTYE4PUIQ1,1
A2KOVSTZGWSVYC,1
A2KOXR5OXIFUIW,1
A2KPTJMOIYHG69,1
A2KRMEFSZI5ZQJ,1
A2KTQ9M7CW05XF,1
A2KVNFOIRZ8PTB,1
